iter	Passed	Remaining
0	1	120
1	2	112
2	3	104
3	4	99
4	5	98
5	6	97
6	7	94
7	8	92
8	9	91
9	10	90
10	10	88
11	11	87
12	12	85
13	13	84
14	14	82
15	15	81
16	16	79
17	17	78
18	18	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	66
30	29	65
31	30	64
32	30	62
33	31	61
34	32	60
35	33	60
36	35	60
37	36	59
38	37	58
39	38	57
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	43	51
46	44	50
47	46	49
48	47	48
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	79	21
79	80	20
80	81	19
81	82	18
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
